fda_id,address
3501,"139 HIGHWAY 13, BLUE EYE, MO 65611"
3502,"2403 FM 1960 ROAD WEST, HOUSTON, TX 77068"
3503,"413 EAST BROADWAY, SALEM, NJ 08097"
3504,"701 STEMMONS STREET, SANGER, TX 76266"
3505,"815 STATE HIGHWAY 36 NORTH, CALDWELL, TX 77836"
3506,"6 CROWLEY ROAD, SABATTUS, ME 04280"
3507,"34225 NORTH US HIGHWAY 45, THIRD LAKE, IL 60030"
3508,"1221 SANDY HOLLOW ROAD, ROCKFORD, IL 61109"
3509,"949 WILLIAM D. FITCH PARKWAY, COLLEGE STATION, TX 77845"
3510,"801 UNIVERSITY DRIVE EAST HILTON HOTEL, COLLEGE STATION, TX 77840"
3511,"5801 LAKE AVENUE, ST JOSEPH, MO 64504"
3512,"15225 PACIFIC AVENUE SOUTH, TACOMA, WA 98444"
3513,"163 WEST BROADWAY, SALEM, NJ 08079"
3514,"1838 SOUTH 68TH STREET, PHILADELPHIA, PA 19142"
3515,"131 SOUTH 2ND STREET, YAKIMA, WA 98901"
3516,"17 GOLF CLUB ROAD, PLEASANT HILL, CA 94523"
3517,"3808 WEST ELM STREET, MCHENRY, IL 60050"
3518,"4750 LEOPARD STREET, CORPUS CHRISTI, TX 78408"
3519,"4590 EAST 42ND STREET, ODESSA, TX 79762"
3520,"500 EAST WISE STREET, BOWIE, TX 76230"
3521,"1303 GOOD HOPE ROAD SOUTHEAST, WASHINGTON, DC 20020"
3522,"1239 EAST MULBERRY STREET, ANGLETON, TX 77515"
3523,"1801 NORTH VELASCO STREET, ANGLETON, TX 77515"
3524,"110 ARBOR AVENUE, WEST CHICAGO, IL 60185"
3525,"119 FRANKLIN STREET, BELLEVILLE, NJ 07109"
3526,"2464 LAKEWOOD DRIVE, BRYAN, TX 77807"
3527,"300 NORTH LOOP 12, IRVING, TX 75061"
3528,"1509 SOUTH STREET, PHILADELPHIA, PA 19146"
3529,"501 NORTHWEST LOOP 230, SMITHVILLE, TX 78957"
3530,"397 HIGHWAY T, POPLAR BLUFF, MO 63901"
3531,"55 EAST CALDWOOD DRIVE, BEAUMONT, TX 77707"
3532,"100 SOUTH FRALEY STREET, KANE, PA 16735"
3533,"354 STATE STREET, PERTH AMBOY, NJ 08861"
3534,"145 BROADWAY, DENVER, CO 80203"
3535,"903 WEST HIGHWAY 82, GAINESVILLE, TX 76240"
3536,"100 EAST UNIVERSITY BOULEVARD, ODESSA, TX 79762"
3537,"20 BURNSIDE AVENUE, EAST HARTFORD, CT 06108"
3538,"6749 MAIN STREET, THE COLONY, TX 75056"
3539,"60 STATE STREET STATE OF CONNECTICUT DEPARTMENT OF MOTOR VEHICLES BUILDING, WETHERSFIELD, CT 06109"
3540,"4514 BENNING ROAD SOUTHEAST, WASHINGTON, DC 20019"
3541,"7208 POSTMA ROAD, YAKIMA, WA 98901"
