,fda_id,address,longitude,latitude
0,1,"2168 STATE HIGHWAY EAST, ROCKY COMFORT, MO 64861",-94.1989887,36.6561664
1,2,"9950 EAST BROADWAY ROAD, MESA, AZ 85208",-111.615811,33.4081202
2,3,"12818 SOUTH US HIGHWAY 71, GRANDVIEW, MO 64030",-94.5268274,38.8816372
3,4,"206 COTTON STREET, GREENWOOD, MS 38930",-90.1849319,33.5199162
4,5,"1509 WILMINGTON AVE, NEW CASTLE, PA 16105",-80.353546,41.016588
5,6,"4043 GERMANTOWN AVENUE, PHILADELPHIA, PA 19140",-75.1533669,40.0158525
6,7,"16 OLD COLONY WAY, MANSFIELD, MA 02048",-71.2191478,42.0298688
7,8,"1301 NORTH 29TH STREET, PHILADELPHIA, PA 19121",-75.1828996,39.9763713
8,9,"105 SOUTH GRAND STREET, GREENFIELD, MO 65661",-93.8465799,37.4171903
9,10,"103 SOUTH PONTOTAC ROAD, BRUCE, MS 38915",-89.3499216,33.9891549
10,11,"4071 BEECHWOOD BOULEVARD, PITTSBURGH, PA 15217",-79.938591,40.4270983
11,12,"4526 PINE AVENUE, ERIE, PA 16504",-80.034685,42.106224
12,13,"1255 WEST MORTON AVENUE, JACKSONVILLE, IL 62650",-90.2520347,39.7208948
13,14,"595 HIGHWAY 1 NORTH, GREENVILLE, MS 38701",-91.0371289,33.414167
14,15,"1521 MAIN STREET, GRANDVIEW, MO 64030",-94.5270086,38.8886924
15,16,"233 DUNLAP COURT, JACKSONVILLE, IL 62650",-90.232314,39.7321127
16,17,"1002 SOUTH DELESEPPS STREET, GREENVILLE, MS 38701",-91.0377029,33.399661
17,18,"11934 STATE HIGHWAY 77, CHAFFEE, MO 63740",-89.6673265,37.1778668
18,19,"125 PRAIRIE DRIVE, EAST PRAIRIE, MO 63845",-89.3852694,36.7852682
19,20,"2616 HIGHWAY 82 EAST, GREENWOOD, MS 38930",-90.1501527,33.5101597
20,21,"201 WEST EDITOR STREET, ASHLAND, IL 62612",-90.0083521,39.8886899
21,22,"1025 PARK AVE, MONTE VISTA, CO 81144-1758",-106.1447682,37.5804744
22,23,"238 EAST YOAKUM AVENUE, CHAFFEE, MO 63740",-89.6534005,37.1793798
23,24,"3275 HIGHWAY 371 NORTH, MANTACHIE, MS 38855",-88.4930946,34.3171709
24,25,"1745 WEST CENTRAL ROAD, ARLINGTON HEIGHTS, IL 60005",-87.9612893,42.0663679
25,26,"312 S. CLOMPTON STREET, DADEVILLE, MO 65635",-93.6835961,37.4715588
26,27,"8TH & MARKET STREET NORTHEAST CORNER, PHILADELPHIA, PA 19107",-75.1535898,39.9511325
27,28,"6751 WEST US HIGHWAY 40, COLUMBIA, MO 65202",-92.9719171,38.9332486
28,29,"1895 EAST COLFAX AVENUE, DENVER, CO 80218",-104.964997,39.7403252
29,30,"118 SOUTH MAIN STREET, VIRGINIA, IL 62691",-90.2100835,39.9502571
30,31,"5053 RAYMOND AVE., VERONA, MS 38879",-88.7199396,34.1931847
31,32,"4630 CHESTNUT STREET, PHILADELPHIA, PA 19139",-75.2145504,39.9569115
32,33,"JUNCTION HIGHWAYS 51 AND 72, PATTON, MO 63662",-90.0153439,37.5190545
33,34,"1245 AMERICAN LEGION, FESTUS, MO 63028",-90.396913,38.200981
34,35,"100 CHESTER PIKE, COLLINGDALE, PA 19023",-75.2651417,39.9154995
35,36,"102 SOUTH WASHINGTON STREET, MARQUETTE, KS 67464",-97.834227,38.55307
36,37,"408 WEST 18TH STREET, ERIE, PA 16502",-80.0868421,42.1152756
37,38,"7305 EAST 35TH AVENUE UNIT 120, DENVER, CO 80238-0000",-104.8892134,39.7664416
38,39,"101 EAST OAK STREET, CONWAY, AR 72032",-92.4268597,35.0913233
39,40,"81 GILLASPEY AVENUE, CRESTED BUTTE, CO 81224-0000",-106.886171,38.811279
40,41,"STATE HWY O, AVA, MO 65608",-92.8110257,36.9472212
41,42,"613 EAST WASHINGTON STREET, EAST PRAIRIE, MO 63845",-89.3758979,36.7757387
42,43,"800 CHESTNUT AVENUE, ROCKY FORD, CO 81067-1200",-103.7202902,38.055998
43,44,"115 WEST KANSAS AVENUE, MCPHERSON, KS 67460",-97.667875,38.369009
44,45,"811 STEFKO BLVD., BETHLEHEM, PA 18018",-75.3611777,40.6247665
45,46,"901 NORTHEAST COLBERN ROAD, LEE'S SUMMIT, MO 64086",-94.3589711,38.9459177
46,47,"1001 WEST MAIN STREET, STERLING, CO 80751-2828",-103.2275627,40.6248742
47,48,"105 WEST US HIGHWAY 54, EL DORADO SPRINGS, MO 64744",-94.021625,37.863166
48,49,"1901 MURRAY AVENUE, PITTSBURGH, PA 15217",-79.9225241,40.4356452
49,50,"180 PLAZA DRIVE, STE GENEVIEVE, MO 63670",-90.0539813,37.9672714
50,51,"8100 ROBERTS ROAD, JUSTICE, IL 60458",-87.8197396,41.7437989
51,52,"1838 SOUTH 68TH STREET, PHILADELPHIA, PA 19142",-75.2426956,39.9260269
52,53,"10036 SOUTH WESTERN AVENUE, CHICAGO, IL 60643",-87.6820474,41.7107644
53,54,"5601 CHESTNUT STREET, PHILADELPHIA, PA 19139",-75.2335524,39.959842
54,55,"394 N MAIN STREET, MANSFIELD, MA 02048",-71.2190059,42.033111
55,56,"3500 CLARK LANE, COLUMBIA, MO 65202",-92.2859604,38.9638617
56,57,"10000 SOUTH WESTERN AVENUE, CHICAGO, IL 60643",-87.6822075,41.7116859
