,fda_id,address,longitude,latitude
0,3501,"139 HIGHWAY 13, BLUE EYE, MO 65611",-93.3971412,36.5001059
1,3502,"2403 FM 1960 ROAD WEST, HOUSTON, TX 77068",-95.4658807,30.005437
2,3503,"413 EAST BROADWAY, SALEM, NJ 08097",-75.4598892,39.5633765
3,3504,"701 STEMMONS STREET, SANGER, TX 76266",-97.1806702,33.3664125
4,3505,"815 STATE HIGHWAY 36 NORTH, CALDWELL, TX 77836",-96.7004948,30.5413092
5,3506,"6 CROWLEY ROAD, SABATTUS, ME 04280",-70.0828082,44.0712694
6,3507,"34225 NORTH US HIGHWAY 45, THIRD LAKE, IL 60030",-88.0002827,42.3601232
7,3508,"1221 SANDY HOLLOW ROAD, ROCKFORD, IL 61109",-89.077937,42.2233404
8,3509,"949 WILLIAM D. FITCH PARKWAY, COLLEGE STATION, TX 77845",-96.2608542,30.5591182
9,3510,"801 UNIVERSITY DRIVE EAST HILTON HOTEL, COLLEGE STATION, TX 77840",-96.3119743,30.616559
10,3511,"5801 LAKE AVENUE, ST JOSEPH, MO 64504",-94.8689108,39.7157432
11,3512,"15225 PACIFIC AVENUE SOUTH, TACOMA, WA 98444",-122.4340608,47.1183869
12,3513,"163 WEST BROADWAY, SALEM, NJ 08079",-75.4677962,39.5718333
13,3514,"1838 SOUTH 68TH STREET, PHILADELPHIA, PA 19142",-75.2426956,39.9260269
14,3515,"131 SOUTH 2ND STREET, YAKIMA, WA 98901",-120.5028462,46.6003653
15,3516,"17 GOLF CLUB ROAD, PLEASANT HILL, CA 94523",-122.0646945,37.9713021
16,3517,"3808 WEST ELM STREET, MCHENRY, IL 60050",-88.2719958,42.3452772
17,3518,"4750 LEOPARD STREET, CORPUS CHRISTI, TX 78408",-97.447727,27.797942
18,3519,"4590 EAST 42ND STREET, ODESSA, TX 79762",-102.3391298,31.8923898
19,3520,"500 EAST WISE STREET, BOWIE, TX 76230",-97.8438162,33.5566237
20,3521,"1303 GOOD HOPE ROAD SOUTHEAST, WASHINGTON, DC 20020",-76.9868043,38.8669048
21,3522,"1239 EAST MULBERRY STREET, ANGLETON, TX 77515",-95.4184727,29.1714617
22,3523,"1801 NORTH VELASCO STREET, ANGLETON, TX 77515",-95.4359184,29.1840316
23,3524,"110 ARBOR AVENUE, WEST CHICAGO, IL 60185",-88.204507,41.885267
24,3525,"119 FRANKLIN STREET, BELLEVILLE, NJ 07109",-74.1811997,40.780929
