,address,longitude,latitude
0,"74 Indian Village Trail, Bastian, Va 24314",-81.1388462,37.1770259
1,"4019 South Capitol Street Southwest, Washington, Dc 20032",-77.0081224,38.8307799
2,"2303 Soapstone Drive, Suite C, Reston, Va 20191",-77.345938,38.9308041
3,"4401 South Capitol Street Southwest, Washington, Dc 20032",-77.0073482,38.8260479
4,"7 North King Street, Leesburg, Va 20176",-77.564587,39.1156906
5,"1613 Montello Avenue Northeast, Washington, Dc 20002",-76.9866201,38.9073724
6,"3145 Campbell Avenue, Lynchburg, Va 24501",-79.144786,37.387894
7,"717 D Street Northwest, Washington, Dc 20004",-77.0227527,38.8950116
8,"3216 Old Forest Road, Lynchburg, Va 24501",-79.211757,37.413642
9,"814 Bladensburg Road Northeast, Washington, Dc 20002",-76.983119,38.901137
10,"3960 Salem Lakes Boulevard, Virginia Beach, Va 23456",-76.1209649,36.7751178
11,"1535 Kenilworth Avenue Northeast, Washington, Dc 20019",-76.935059,38.910389
12,"2854 Wilson Boulevard, Arlington, Va 22201",-77.0928957,38.8886216
13,"4321 Nannie Helen Burroughs Avenue Northeast, Washington, Dc 20019",-76.9425831,38.9018472
14,"1039 Fairfax Pike, Stephens City, Va 22655",-78.1791779,39.077203
15,"4239 9th Street Northwest, Washington, Dc 20011",-77.0250925,38.9427182
16,"26036 Cox Road, Petersburg, Va 23803",-77.4551187,37.2153348
17,"3011 Martin Luther King Junior Avenue Southeast, Washington, Dc 20032",-76.998349,38.844467
18,"760 Warrior Drive, Stephens City, Va 22655",-78.1776568,39.0923403
19,"4682 Martin Luther King Junior Avenue Southwest, Washington, Dc 20032",-77.010447,38.821247
20,"8870 South Scenic Highway, Bland, Va 24315",-81.1173399,37.1015873
21,"2850 Bladensburg Road Northeast, Washington, Dc 20018",-76.9634142,38.9272049
22,"25722 Cox Road, Petersburg, Va 23803",-77.4597122,37.2144176
23,"333 Hawaii Avenue Northeast, Washington, Dc 20011",-77.0008688,38.9411471
24,"1535 River Road West, Crozier, Va 23039",-77.79723,37.636837
25,"7719 Georgia Avenue North West, Washington, Dc 20012",-77.0265541,38.983312
26,"22920 Us Highway 29, Chatham, Va 24531",-79.390531,36.90086
27,"3845 Minnesota Avenue Northeast, Washington, Dc 20019",-76.9503302,38.8929847
28,"8229 Boone Boulevard, Vienna, Va 22182",-77.2310587,38.915409
29,"3943 Minnesota Avenue Northeast, Washington, Dc 20019",-76.949163,38.8947829
30,"328 Rives Rd, Petersburg, Va 23805",-77.3531167,37.1752671
31,"1739 New Jersey Avenue Northwest, Washington, Dc 20001",-77.0174059,38.9135225
32,"42244 East Morgan Avenue, Pennington Gap, Va 24277",-83.0368365,36.7535275
33,"5577 Central Avenue Southeast, Washington, Dc 20019",-76.919149,38.885563
34,"12643 Orby Cantrell Highway, Pound, Va 24279",-82.6321133,37.1546837
35,"4520 Benning Road Southeast, Washington, Dc 20019",-76.9372097,38.8890222
36,"11701 Central Street, Coeburn, Va 24230",-82.4806343,36.9343343
37,"3938 Minnesota Avenue Northeast, Washington, Dc 20019",-76.9502801,38.8942451
38,"7947 Main Street, Middletown, Va 22645",-78.2812342,39.0270496
39,"3710 Minnesota Avenue Northeast, Washington, Dc 20019",-76.9526448,38.8909198
40,"32441 Wilderness Rd, Ste 101, Jonesville, Va 24263",-83.1279982,36.6841214
41,"1108 Montello Avenue Northeast, Washington, Dc 20002",-76.9901432,38.9031043
42,"27262 Wilderness Road, Suite 101, Jonesville, Va 24263",-83.2140388,36.6773141
43,"5120 Nannie Helen Burroughs Avenue Northeast, Washington, Dc 20019",-76.9262565,38.8985681
44,"6500 Whaleyville Boulevard, Suffolk, Va 23438",-76.684871,36.587885
45,"3542 East Capitol Street Northeast, Washington, Dc 20019",-76.9540398,38.8898417
46,"4300 Colley Avenue, Norfolk, Va 23508",-76.2948595,36.883648
47,"2917 Martin Luther King Junior Avenue Southeast, Washington, Dc 20032",-76.997242,38.845882
48,"7 North King Street, Leesburg, Va 20176",-77.564587,39.1156906
49,"1807 West Virginia Avenue Northeast, Washington, Dc 20002",-76.9849026,38.9105727
50,"61 Catoctin Circle Northeast, Leesburg, Va 20176",-77.552909,39.1114269
51,"2300 Pennsylvania Avenue Southeast, Washington, Dc 20020",-76.9719818,38.8745181
52,"801 Independence Boulevard, Virginia Beach, Va 23455",-76.1330218,36.8660571
53,"1765 New York Avenue Northeast, Washington, Dc 20002",-76.9790645,38.9168206
54,"1778 East Little Creek Road, Norfolk, Va 23518",-76.2267275,36.9168994
55,"3830 Minnesota Avenue Northeast, Washington, Dc 20019",-76.9511969,38.8929506
56,"1720 East Little Creek Road, Norfolk, Va 23518",-76.2281351,36.9183228
57,"1322 Florida Avenue Northeast, Washington, Dc 20002",-76.9874289,38.9017874
58,"2475 East Little Creek Road, Norfolk, Va 23518",-76.2122733,36.9149227
59,"1508 Benning Road Northeast, Washington, Dc 20002",-76.983102,38.9001692
60,"6691 Maddox Boulevard, Chincoteague Island, Va 23336",-75.3560863,37.928046
61,"1100 4th Street Southwest, Washington, Dc 20024",-77.0172102,38.8776475
62,"506 Main Street, Front Royal, Va 22630",-78.202454,38.921511
63,"1350 Brentwood Road Northeast, Washington, Dc 20018",-76.9863082,38.9248451
64,"5021 Lee Highway, Warrenton, Va 20187",-77.709103,38.767399
65,"1301 Bladensburg Road Northeast, Washington, Dc 20002",-76.978236,38.907527
66,"23035 Douglas Court, Sterling, Va 20166",-77.4156406,38.9785491
67,"1804 D Street Northeast, Washington, Dc 20002",-76.9787373,38.894975
68,"2225 Florida Avenue, Lynchburg, Va 24501",-79.1339647,37.3828104
69,"1303 Good Hope Road Southeast, Washington, Dc 20020",-76.9868043,38.8669048
70,"2009 12th Street, Lynchburg, Va 24501",-79.157977,37.402671
71,"4514 Benning Road Southeast, Washington, Dc 20019",-76.937406,38.8894633
72,"3145 Campbell Avenue, Lynchburg, Va 24501",-79.144786,37.387894
73,"2924 Minnesota Avenue Southeast #b, Washington, Dc 20019",-76.965538,38.876362
74,"7029 Columbia Pike, Annandale, Va 22003",-77.1884515,38.8330847
75,"2651 Benning Road Northeast, Washington, Dc 20002",-76.969555,38.8976113
76,"14865 Wards Road, Lynchburg, Va 24501",-79.1717831,37.2972184
77,"501 4th Street South East, Washington, Dc 20003",-77.0008238,38.8830908
78,"3216 Old Forest Road, Lynchburg, Va 24501",-79.211757,37.413642
79,"1329 Kenilworth Avenue Northeast, Washington, Dc 20019",-76.9373504,38.908232
80,"5792 Northampton Boulevard, Virginia Beach, Va 23455",-76.1861622,36.883383
81,"4616 14th Street Northwest, Washington, Dc 20011",-77.0329622,38.9466718
82,"8289 Sudley Road, Manassas, Va 20109",-77.5039649,38.776547
83,"4201 Massachusetts Avenue Northwest, Suite #1, Washington, Dc 20016",-77.0822298,38.9359389
84,"12080 Glade Drive, Reston, Va 20191",-77.363348,38.9353658
85,"4501 14th Street Northwest, Washington, Dc 20011",-77.032352,38.945299
86,"2303 Soapstone Drive, Suite C, Reston, Va 20191",-77.345938,38.9308041
87,"3614 Georgia Avenue Northwest, Washington, Dc 20010",-77.0245467,38.9346167
88,"1901 Euclid Avenue, Bristol, Va 24201",-82.2034273,36.5985747
89,"3825 Alabama Avenue Southeast, Washington, Dc 20020",-76.950427,38.865697
90,"347 Sheffey School Road, Max Meadows, Va 24360",-80.9842484,36.8895768
91,"4000 Wisconsin Avenue Northwest, Washington, Dc 20016",-77.077104,38.9417038
92,"1581 General Booth Boulevard, Suite 116, Virginia Beach, Va 23454",-76.0013574,36.7869685
93,"1855 Wisconsin Avenue Northwest, Washington, Dc 20007",-77.0672614,38.9161787
94,"14808 Build America Drive, Woodbridge, Va 22191",-77.272344,38.631977
95,"1739 New Jersey Avenue Northwest, Washington, Dc 20001",-77.0174059,38.9135225
96,"6110 North Military Highway, Norfolk, Va 23518",-76.2231999,36.8951901
97,"2715 Pennsylvania Avenue Northwest, Washington, Dc 20007",-77.0564815,38.9050177
98,"1286 East Lee Highway, Wytheville, Va 24382",-80.9939768,36.9384451
99,"2210 Bladensburg Road Northeast, Washington, Dc 20018",-76.9706034,38.9200871
100,"3114 10th St North, Arlington, Va 22201",-77.095399,38.8842384
101,"2725 Bladensburg Road Northeast, Washington, Dc 20018",-76.9652227,38.9248593
102,"2544 Bainbridge Boulevard, Chesapeake, Va 23324",-76.2778037,36.7995243
103,"400 East Capitol Street Northeast, Washington, Dc 20003",-77.00037,38.890097
104,"2020 North 14th Street North, Arlington, Va 22201",-77.0832101,38.8894372
105,"3710 Minnesota Avenue Northeast, Washington, Dc 20019",-76.9526448,38.8909198
106,"302 Tyler Avenue, Radford, Va 24141",-80.553584,37.1386796
107,"2310 Rhode Island Avenue Northeast, Washington, Dc 20018",-76.973105,38.93083
108,"2115 Bainbridge Boulevard, Chesapeake, Va 23324",-76.2757995,36.8048013
109,"3001 Sherman Avenue Northwest, Washington, Dc 20001",-77.0257919,38.9279796
110,"655 Gate City Highway, Bristol, Va 24201",-82.2177166,36.6008263
111,"1401 6th Street Northwest, Washington, Dc 20001",-77.0196722,38.9087342
112,"4040 Electric Road, Roanoke, Va 24018",-79.9829991,37.2247399
113,"1117 10th Street Commercial Unit, Washington, Dc 20001",-77.0190228,38.912068
